,0,1,2,3,4,5,6,7,8,9,10,11
0,[ 0.08390788  0.69422092 -1.3932774 ],"[ 9.90622927 -2.62248865 -3.56099189 -2.62248865  2.76288184 -2.01622812
 -3.56099189 -2.01622812  8.76185125]",[0.23930544],[ 2.22444863  0.60976582 -5.49629414],"[13.65991778 -3.46651088 -0.77128009 -3.46651088  1.46308892  0.12953259
 -0.77128009  0.12953259  0.57914555]",[0.08261329],[ 3.13240894 -2.01742755  3.28517514],"[ 1.89453806  0.00714129 -0.36894762  0.00714129  0.49600318  0.07633455
 -0.36894762  0.07633455  1.64076337]",[0.34925266],[-4.70596436  0.89614259  1.28757214],"[ 1.11836511  0.51369032 -2.24378531  0.51369032  1.48249604 -3.93810257
 -2.24378531 -3.93810257 16.79689157]",[0.32882861]
1,[-0.01685933  0.91054982 -1.79305337],"[11.3192073  -3.09313669 -3.20216136 -3.09313669  2.76873864 -1.84917401
 -3.20216136 -1.84917401  7.84977557]",[0.19885932],[ 2.6008325   0.48525708 -5.1944571 ],"[14.30200187 -3.18122917 -0.92152065 -3.18122917  1.21902285  0.20766554
 -0.92152065  0.20766554  0.63059632]",[0.08520981],[ 3.04557517 -2.01513103  3.15751038],"[ 1.83935189  0.04702874 -0.05092836  0.04702874  0.47373696  0.04962737
 -0.05092836  0.04962737  1.73578106]",[0.36437461],[-4.48747248  0.90578274  1.22861812],"[ 1.34452043  0.62408161 -2.57640105  0.62408161  1.40591754 -3.93995036
 -2.57640105 -3.93995036 17.54037654]",[0.35155625]
2,[-0.15401333  1.14561801 -2.15651802],"[11.67293313 -3.31707505 -2.66184673 -3.31707505  2.55427726 -1.34735441
 -2.66184673 -1.34735441  6.2841029 ]",[0.15656825],[ 2.77121169  0.43656508 -5.01850512],"[14.06816954 -2.96622555 -1.05374713 -2.96622555  1.11848732  0.27022857
 -1.05374713  0.27022857  0.71307505]",[0.09562044],[ 2.99621292 -2.01122115  3.1039486 ],"[1.88788991 0.04152901 0.00972806 0.04152901 0.47466312 0.04037815
 0.00972806 0.04037815 1.81847394]",[0.37701081],[-4.36914303  0.92699753  1.16114358],"[ 1.51731205  0.7081978  -2.83836756  0.7081978   1.40550438 -3.94572084
 -2.83836756 -3.94572084 17.55475715]",[0.37080051]
3,[-0.3456169   1.39406464 -2.50642222],"[11.43347962 -3.35180494 -2.12822168 -3.35180494  2.18717342 -0.62934217
 -2.12822168 -0.62934217  4.35046099]",[0.12469146],[ 2.81071146  0.42686771 -4.90208202],"[14.05854232 -2.89809643 -1.23964217 -2.89809643  1.08967516  0.32983205
 -1.23964217  0.32983205  0.81199859]",[0.10586556],[ 2.97368477 -2.00743358  3.07405796],"[1.93189134 0.03113951 0.01626649 0.03113951 0.47838748 0.03225563
 0.01626649 0.03225563 1.86915169]",[0.38559392],[-4.30039277  0.9421063   1.11870519],"[ 1.64021264  0.76168448 -3.01227691  0.76168448  1.42147037 -3.96108357
 -3.01227691 -3.96108357 17.49363459]",[0.38384906]
4,[-0.64721891  1.64214616 -2.79057269],"[10.8773412  -3.11899466 -1.89340382 -3.11899466  1.71173054  0.09565842
 -1.89340382  0.09565842  2.66184688]",[0.10593862],[ 2.77408186  0.43895687 -4.82588127],"[14.30535021 -2.91594386 -1.46118754 -2.91594386  1.0928485   0.3817443
 -1.46118754  0.3817443   0.90760929]",[0.1139459],[ 2.9628238  -2.00227402  3.04873732],"[1.96552008 0.02072483 0.01489645 0.02072483 0.48256284 0.02390503
 0.01489645 0.02390503 1.91279058]",[0.3916334],[-4.26654285  0.94409587  1.11920828],"[ 1.71224204  0.78815151 -3.10496292  0.78815151  1.42992602 -3.96329718
 -3.10496292 -3.96329718 17.44123905]",[0.38848208]
5,[-1.05099931  1.82395868 -2.89573287],"[ 9.93575506 -2.65203184 -1.80191733 -2.65203184  1.32187533  0.43367075
 -1.80191733  0.43367075  1.87910606]",[0.10147096],[ 2.72670048  0.45344285 -4.78538354],"[14.63092579 -2.95135641 -1.65790824 -2.95135641  1.10822341  0.41090426
 -1.65790824  0.41090426  0.98631181]",[0.11936615],[ 2.96012225 -1.99714328  3.02865708],"[1.98052988 0.01361816 0.01357925 0.01361816 0.48735997 0.01371399
 0.01357925 0.01371399 1.95530975]",[0.39500428],[-4.26307171  0.92739444  1.17652969],"[ 1.74109447  0.79800603 -3.14834753  0.79800603  1.4249172  -3.9492909
 -3.14834753 -3.9492909  17.42886208]",[0.38415861]
6,[-1.48368682  1.94426473 -2.87300211],"[ 8.48151758 -2.11653458 -1.349643   -2.11653458  1.05545972  0.41932382
 -1.349643    0.41932382  1.52722821]",[0.10512479],[ 2.74188422  0.44794732 -4.7660835 ],"[14.71759671 -2.94465376 -1.73002016 -2.94465376  1.12741559  0.39705662
 -1.73002016  0.39705662  1.03886987]",[0.12389064],[ 2.95966543 -1.99558714  3.0228306 ],"[1.98444013 0.01176653 0.01295507 0.01176653 0.48874596 0.00992064
 0.01295507 0.00992064 1.97212362]",[0.39574494],[-4.27619826  0.89662064  1.27781772],"[ 1.75044212  0.79809706 -3.16395886  0.79809706  1.41344012 -3.92247022
 -3.16395886 -3.92247022 17.41578671]",[0.37523963]
7,[-2.00036169  2.0677275  -2.81972833],"[ 6.17096207 -1.36004725 -0.65605015 -1.36004725  0.7723867   0.27363441
 -0.65605015  0.27363441  1.28946933]",[0.11117314],[ 2.86010385  0.41889188 -4.76034668],"[14.29284354 -2.83100553 -1.645098   -2.83100553  1.11855329  0.3519086
 -1.645098    0.3519086   1.05950958]",[0.12868102],[ 2.95964604 -1.99546677  3.02233796],"[1.98481407 0.01162607 0.01279166 0.01162607 0.48887596 0.00955096
 0.01279166 0.00955096 1.97386106]",[0.39579822],[-4.29996541  0.85801028  1.40818602],"[ 1.74590939  0.79035678 -3.15306871  0.79035678  1.39672525 -3.8743021
 -3.15306871 -3.8743021  17.33719193]",[0.36434762]
8,[-2.52813009  2.17340106 -2.79912676],"[ 3.43618351 -0.53091592  0.00844865 -0.53091592  0.51002381  0.12486014
  0.00844865  0.12486014  1.16390934]",[0.12255493],[ 3.09011582  0.37004281 -4.76312807],"[13.18846135 -2.56412251 -1.41546641 -2.56412251  1.06327461  0.28970824
 -1.41546641  0.28970824  1.05852936]",[0.13178643],[ 2.9596672  -1.99539731  3.02218535],"[1.98483687 0.01167353 0.01266259 0.01167353 0.48896995 0.00926143
 0.01266259 0.00926143 1.97442251]",[0.3958134],[-4.34043749  0.80397938  1.5944246 ],"[ 1.7252351   0.7691688  -3.10260344  0.7691688   1.36948971 -3.78606349
 -3.10260344 -3.78606349 17.1425587 ]",[0.34984524]
9,[-2.80982963  2.18617892 -2.86541104],"[ 2.28284665 -0.19483197  0.25553499 -0.19483197  0.41960253  0.0873378
  0.25553499  0.0873378   1.18532468]",[0.14751692],[ 3.41486345  0.3038052  -4.78739816],"[11.30935984 -2.14350281 -1.13028534 -2.14350281  0.97631186  0.22644049
 -1.13028534  0.22644049  1.05469753]",[0.12880005],[ 2.95969489 -1.99532211  3.02203977],"[1.98481651 0.01172479 0.01252578 0.01172479 0.48907815 0.00895707
 0.01252578 0.00895707 1.97496815]",[0.39582752],[-4.4119153   0.71606506  1.91050047],"[ 1.68783398  0.71893934 -2.97416107  0.71893934  1.3181422  -3.59792757
 -2.97416107 -3.59792757 16.61795099]",[0.32785552]
