,0,1,2,3,4
0,[2621.51 2409.51 2478.51 2490.51],[2622.5 2410.5 2479.5 2491.5],"[[-0.09003041 -0.38814805 -0.26462368 -0.26818346]
 [-0.25303528 -0.12757579 -0.16907996 -0.21824199]
 [ 0.82285318  0.69859418  0.82110547  0.78458127]]","[[[6.71099836e-05 6.94395410e-05 6.46590151e-05 6.92268996e-05]
  [1.44208363e-04 1.45745837e-04 1.37371136e-04 1.44149431e-04]
  [4.35285009e-05 4.49320950e-05 4.02917617e-05 4.46313253e-05]]

 [[1.44208363e-04 1.45745837e-04 1.37371136e-04 1.44149431e-04]
  [4.92522973e-04 4.97617470e-04 4.84499248e-04 4.80060493e-04]
  [1.43460802e-04 1.45015241e-04 1.37242865e-04 1.42604759e-04]]

 [[4.35285009e-05 4.49320950e-05 4.02917617e-05 4.46313253e-05]
  [1.43460802e-04 1.45015241e-04 1.37242865e-04 1.42604759e-04]
  [6.87916127e-05 6.97546810e-05 6.53068943e-05 6.93511403e-05]]]",[2624.5 2412.5 2481.5 2493.5]
1,[2620.90574519 2409.78786799 2478.72214632 2490.62424051],[2621.89574519 2410.77786799 2479.71214632 2491.61424051],"[[-0.08432249 -0.39410323 -0.26113682 -0.27184179]
 [-0.26370409 -0.12417519 -0.16487431 -0.2145139 ]
 [ 0.85088813  0.69332683  0.80790888  0.77332619]]","[[[6.69049826e-05 6.96541522e-05 6.45237815e-05 6.94613355e-05]
  [1.43738083e-04 1.46413390e-04 1.37422622e-04 1.44059111e-04]
  [4.32885497e-05 4.53294240e-05 4.01259735e-05 4.47392414e-05]]

 [[1.43738083e-04 1.46413390e-04 1.37422622e-04 1.44059111e-04]
  [4.90254051e-04 4.99110575e-04 4.85877042e-04 4.79768935e-04]
  [1.43219127e-04 1.45642885e-04 1.37212146e-04 1.42359663e-04]]

 [[4.32885497e-05 4.53294240e-05 4.01259735e-05 4.47392414e-05]
  [1.43219127e-04 1.45642885e-04 1.37212146e-04 1.42359663e-04]
  [6.81853032e-05 6.99897756e-05 6.55105733e-05 6.95978257e-05]]]",[2623.89574519 2412.77786799 2481.71214632 2493.61424051]
2,[2620.74811803 2409.84495382 2478.80906742 2490.63786074],[2621.73811803 2410.83495382 2479.79906742 2491.62786074],"[[-0.08188435 -0.40075212 -0.25475726 -0.27430893]
 [-0.26702116 -0.12114289 -0.16414482 -0.21469052]
 [ 0.85993026  0.68979161  0.80309318  0.77203085]]","[[[6.67002490e-05 6.99224337e-05 6.44272848e-05 6.96123405e-05]
  [1.43122609e-04 1.47160587e-04 1.37421317e-04 1.44137544e-04]
  [4.29743485e-05 4.57959888e-05 3.99193324e-05 4.49027618e-05]]

 [[1.43122609e-04 1.47160587e-04 1.37421317e-04 1.44137544e-04]
  [4.88472619e-04 5.00863452e-04 4.87006402e-04 4.79162636e-04]
  [1.42612734e-04 1.46387890e-04 1.37283361e-04 1.42343898e-04]]

 [[4.29743485e-05 4.57959888e-05 3.99193324e-05 4.49027618e-05]
  [1.42612734e-04 1.46387890e-04 1.37283361e-04 1.42343898e-04]
  [6.79153656e-05 7.02512795e-05 6.55175442e-05 6.97082893e-05]]]",[2623.73811803 2412.83495382 2481.79906742 2493.62786074]
3,[2620.5654996  2409.97545361 2478.90078378 2490.59826301],[2621.5554996  2410.96545361 2479.89078378 2491.58826301],"[[-0.07894804 -0.40881667 -0.24711115 -0.27718501]
 [-0.2694819  -0.11801727 -0.16381016 -0.2154696 ]
 [ 0.86591929  0.6873241   0.79861615  0.7725827 ]]","[[[6.64937980e-05 7.02313507e-05 6.43219898e-05 6.97705913e-05]
  [1.42474902e-04 1.48005153e-04 1.37351408e-04 1.44281734e-04]
  [4.26209835e-05 4.63462731e-05 3.96501262e-05 4.51114939e-05]]

 [[1.42474902e-04 1.48005153e-04 1.37351408e-04 1.44281734e-04]
  [4.86740352e-04 5.02835770e-04 4.87984053e-04 4.78575721e-04]
  [1.41938339e-04 1.47242516e-04 1.37306212e-04 1.42406141e-04]]

 [[4.26209835e-05 4.63462731e-05 3.96501262e-05 4.51114939e-05]
  [1.41938339e-04 1.47242516e-04 1.37306212e-04 1.42406141e-04]
  [6.76973022e-05 7.05517072e-05 6.54711332e-05 6.98183578e-05]]]",[2623.5554996  2412.96545361 2481.89078378 2493.58826301]
4,[2620.31504682 2410.23414444 2479.00246548 2490.48834326],[2621.30504682 2411.22414444 2479.99246548 2491.47834326],"[[-0.07475798 -0.41863131 -0.23826332 -0.28086959]
 [-0.27209884 -0.11472272 -0.16337121 -0.2163593 ]
 [ 0.8711807   0.68604306  0.79296641  0.77392778]]","[[[6.62869473e-05 7.05890682e-05 6.41992093e-05 6.99537361e-05]
  [1.41799654e-04 1.48972279e-04 1.37201840e-04 1.44490194e-04]
  [4.22244056e-05 4.69995036e-05 3.93037316e-05 4.53743280e-05]]

 [[1.41799654e-04 1.48972279e-04 1.37201840e-04 1.44490194e-04]
  [4.84966860e-04 5.05069767e-04 4.88801228e-04 4.78085132e-04]
  [1.41228744e-04 1.48227331e-04 1.37247796e-04 1.42535943e-04]]

 [[4.22244056e-05 4.69995036e-05 3.93037316e-05 4.53743280e-05]
  [1.41228744e-04 1.48227331e-04 1.37247796e-04 1.42535943e-04]
  [6.74867128e-05 7.09048484e-05 6.53939472e-05 6.99535330e-05]]]",[2623.30504682 2413.22414444 2481.99246548 2493.47834326]
5,[2619.95799266 2410.6899807  2479.11693168 2490.27509496],[2620.94799266 2411.6799807  2480.10693168 2491.26509496],"[[-0.06897112 -0.43049919 -0.22798872 -0.28564472]
 [-0.27504305 -0.11126479 -0.16272547 -0.21728116]
 [ 0.87589138  0.68629209  0.78557956  0.77611371]]","[[[6.60814803e-05 7.10086058e-05 6.40583622e-05 7.01709052e-05]
  [1.41090062e-04 1.50089450e-04 1.36959521e-04 1.44779614e-04]
  [4.17740370e-05 4.77778532e-05 3.88636894e-05 4.57060492e-05]]

 [[1.41090062e-04 1.50089450e-04 1.36959521e-04 1.44779614e-04]
  [4.83118631e-04 5.07616800e-04 4.89425629e-04 4.77739309e-04]
  [1.40480810e-04 1.49369702e-04 1.37091749e-04 1.42748096e-04]]

 [[4.17740370e-05 4.77778532e-05 3.88636894e-05 4.57060492e-05]
  [1.40480810e-04 1.49369702e-04 1.37091749e-04 1.42748096e-04]
  [6.72771667e-05 7.13255423e-05 6.52899736e-05 7.01242293e-05]]]",[2622.94799266 2413.6799807  2482.10693168 2493.26509496]
6,[2619.43786758 2411.44375795 2479.24742468 2489.91094979],[2620.42786758 2412.43375795 2480.23742468 2490.90094979],"[[-0.06125087 -0.44475065 -0.21596927 -0.29184584]
 [-0.27836053 -0.10767123 -0.16182368 -0.21821645]
 [ 0.87984569  0.68852695  0.77594848  0.7794267 ]]","[[[6.58807802e-05 7.15064088e-05 6.39028945e-05 7.04322708e-05]
  [1.40338585e-04 1.51386905e-04 1.36610461e-04 1.45174249e-04]
  [4.12565570e-05 4.87067718e-05 3.83100760e-05 4.61264686e-05]]

 [[1.40338585e-04 1.51386905e-04 1.36610461e-04 1.45174249e-04]
  [4.81171063e-04 5.10530575e-04 4.89817073e-04 4.77594686e-04]
  [1.39686546e-04 1.50700851e-04 1.36823526e-04 1.43066193e-04]]

 [[4.12565570e-05 4.87067718e-05 3.83100760e-05 4.61264686e-05]
  [1.39686546e-04 1.50700851e-04 1.36823526e-04 1.43066193e-04]
  [6.70696582e-05 7.18317625e-05 6.51625437e-05 7.03410111e-05]]]",[2622.42786758 2414.43375795 2482.23742468 2492.90094979]
7,[2618.66803636 2412.64263955 2479.39766021 2489.33166387],[2619.65803636 2413.63263955 2480.38766021 2490.32166387],"[[-0.05119455 -0.46174912 -0.20181361 -0.29990832]
 [-0.28208031 -0.10398546 -0.16061528 -0.21915455]
 [ 0.88270667  0.69331036  0.76346075  0.78429394]]","[[[6.56915879e-05 7.21023041e-05 6.37414892e-05 7.07510611e-05]
  [1.39539500e-04 1.52896327e-04 1.36141262e-04 1.45705503e-04]
  [4.06562215e-05 4.98148244e-05 3.76183801e-05 4.66614642e-05]]

 [[1.39539500e-04 1.52896327e-04 1.36141262e-04 1.45705503e-04]
  [4.79104230e-04 5.13860960e-04 4.89930962e-04 4.77723377e-04]
  [1.38838849e-04 1.52254060e-04 1.36429261e-04 1.43521294e-04]]

 [[4.06562215e-05 4.98148244e-05 3.76183801e-05 4.66614642e-05]
  [1.38838849e-04 1.52254060e-04 1.36429261e-04 1.43521294e-04]
  [6.68691693e-05 7.24452860e-05 6.50190597e-05 7.06176134e-05]]]",[2621.65803636 2415.63263955 2482.38766021 2492.32166387]
8,[2617.51250458 2414.49928703 2479.57219071 2488.45601768],[2618.50250458 2415.48928703 2480.56219071 2489.44601768],"[[-0.03830809 -0.48188727 -0.18504384 -0.31040361]
 [-0.2862312  -0.10026865 -0.15903823 -0.22008549]
 [ 0.88402474  0.70132515  0.74733992  0.79130916]]","[[[6.55264411e-05 7.28192629e-05 6.35915614e-05 7.11446489e-05]
  [1.38691438e-04 1.54647628e-04 1.35541271e-04 1.46412613e-04]
  [3.99546722e-05 5.11329752e-05 3.67577720e-05 4.73443963e-05]]

 [[1.38691438e-04 1.54647628e-04 1.35541271e-04 1.46412613e-04]
  [4.76907378e-04 5.17643547e-04 4.89721096e-04 4.78215837e-04]
  [1.37934441e-04 1.54061509e-04 1.35897455e-04 1.44152507e-04]]

 [[3.99546722e-05 5.11329752e-05 3.67577720e-05 4.73443963e-05]
  [1.37934441e-04 1.54061509e-04 1.35897455e-04 1.44152507e-04]
  [6.66861611e-05 7.31917290e-05 6.48749862e-05 7.09723057e-05]]]",[2620.50250458 2417.48928703 2482.56219071 2491.44601768]
9,[2615.75250992 2417.31739893 2479.77878898 2487.19130217],[2616.74250992 2418.30739893 2480.76878898 2488.18130217],"[[-0.0219845  -0.50558135 -0.16506639 -0.32408357]
 [-0.29084575 -0.09660291 -0.15701659 -0.2209985 ]
 [ 0.88321862  0.71338951  0.72659243  0.80128819]]","[[[6.54075233e-05 7.36823707e-05 6.34854870e-05 7.16355369e-05]
  [1.37801380e-04 1.56662863e-04 1.34805743e-04 1.47342452e-04]
  [3.91305481e-05 5.26930856e-05 3.56877015e-05 4.82174791e-05]]

 [[1.37801380e-04 1.56662863e-04 1.34805743e-04 1.47342452e-04]
  [4.74588438e-04 5.21882156e-04 4.89143561e-04 4.79180102e-04]
  [1.36977786e-04 1.56148340e-04 1.35221981e-04 1.45006860e-04]]

 [[3.91305481e-05 5.26930856e-05 3.56877015e-05 4.82174791e-05]
  [1.36977786e-04 1.56148340e-04 1.35221981e-04 1.45006860e-04]
  [6.65401404e-05 7.40997631e-05 6.47600643e-05 7.14290927e-05]]]",[2618.74250992 2420.30739893 2482.76878898 2490.18130217]
